,year,artist,song,points,duration
398,2013,Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up),2463,186.826
399,2013,Lorde,Royals,2477,190.185
400,2013,Ed Sheeran,Lego House,2556,185.093
401,2013,Lana Del Rey,Young And Beautiful,2565,236.053
402,2013,Bastille,Pompeii,2591,214.147
403,2013,The Lumineers,Stubborn Love,2821,279.0
404,2013,Imagine Dragons,On Top Of The World,2874,189.84
405,2013,New Politics,Harlem,2965,163.626
406,2013,fun.,Carry On,3006,323.0
407,2013,Walk Off The Earth,Red Hands,3197,180.88
408,2013,Of Monsters And Men,Little Talks,3267,266.6
409,2013,Mumford & Sons,I Will Wait,3332,276.72
410,2013,Lorde,Tennis Court,3387,198.907
411,2013,Panic! At The Disco Featuring Lolo,Miss Jackson,3450,192.053
412,2013,alt-J,Breezeblocks,3488,227.08
413,2013,Avenged Sevenfold,Hail To The King,3507,305.906
414,2013,Muse,Madness,3524,281.04
415,2013,fun.,Some Nights,3567,277.04
416,2013,Grouplove,Ways To Go,3720,215.52
417,2013,Cage The Elephant,Come A Little Closer,3768,229.346
418,2013,Phillip Phillips,Home,3821,195.32
419,2013,Vampire Weekend,Diane Young,3825,160.066
420,2013,Arctic Monkeys,Do I Wanna Know?,3845,272.394
421,2013,Building 429,We Won't Be Shaken,3855,236.546
422,2013,Ed Sheeran,The A Team,3861,258.373
423,2013,Shinedown,I'll Follow You,3871,238.76
424,2013,Fall Out Boy,Alone Together,3878,203.413
425,2013,Passion Pit,Carried Away,3885,202.466
426,2013,Thirty Seconds To Mars,Up In The Air,3904,275.786
427,2013,MS MR,Hurricane,3908,222.533
428,2013,Five Finger Death Punch Featuring Rob Halford,Lift Me Up,3918,196.519
429,2013,Lorde,Team,3920,193.058
430,2013,Tegan And Sara,Closer,3935,244.96
431,2013,Imagine Dragons,Bleeding Out,3940,208.608
432,2013,Ed Sheeran,Give Me Love,3961,526.386
433,2013,Mumford & Sons,Lover Of The Light,3987,314.893
434,2013,John Mayer Featuring Katy Perry,Who You Love,3989,249.933
435,2013,Alex Clare,Too Close,3994,259.44
436,2013,The Mowgli's,San Francisco,4006,173.093
437,2013,Goo Goo Dolls,Rebel Beat,4008,214.72
438,2013,Fall Out Boy,The Phoenix,4037,244.96
439,2013,Passion Pit,Take A Walk,4057,264.493
440,2013,Three Days Grace,The High Road,4067,232.2
441,2013,Lana Del Rey vs. Cedric Gervais,Summertime Sadness,4104,264.773
442,2013,Serena Ryder,Stompa,4105,221.746
443,2013,Empire Of The Sun,Alive,4126,340.907
444,2013,Imagine Dragons,Tiptoe,4127,193.0
445,2013,Family Of The Year,Hero,4130,186.813
446,2013,Black Veil Brides,In The End,4132,216.88
447,2013,Linkin Park,Castle Of Glass,4133,205.4
448,2013,Pearl Jam,Sirens,4137,198.01
449,2013,Muse,Panic Station,4138,184.2
450,2013,American Authors,Best Day Of My Life,4150,194.24
451,2013,Korn,Never Never,4157,221.001
452,2013,Linkin Park X Steve Aoki,A Light That Never Comes,4172,229.439
453,2013,Atlas Genius,Trojans,4194,217.386
454,2013,Lorde,The Love Club,4204,201.433
455,2013,Of Monsters And Men,King & Lionheart,4221,273.853
456,2013,Bon Jovi,Because We Can,4225,240.346
457,2013,Nine Inch Nails,Came Back Haunted,4234,317.266
458,2013,Volbeat,Heaven Nor Hell,4246,322.613
459,2013,Ed Sheeran,Kiss Me,4250,208.68
460,2013,Kings Of Leon,Supersoaker,4280,230.226
461,2013,Tame Impala,Elephant,4281,211.226
462,2013,The Neighbourhood,Afraid,4288,251.186
463,2013,Phoenix,Entertainment,4295,219.973
