,year,artist,song,points
245,2015,"Yogi, Skrillex, Pusha T, Moody Good & Trollphace",Burial,3863
246,2015,Axwell & Ingrosso,Something New,3883
247,2015,Matoma & The Notorious B.I.G. Featuring Ja Rule & Ralph Tresvant,Old Thing Back,3892
248,2015,Alesso Featuring Tove Lo,Heroes (We Could Be),3897
249,2015,Steve Aoki & Moxie Raia,I Love It When You Cry (Moxoki),3907
250,2015,Skrillex & Diplo Featuring AlunaGeorge,To U,3909
251,2015,David Guetta Featuring Sam Martin,Dangerous,3916
252,2015,Major Lazer Featuring Wild Belle,Be Together,3926
253,2015,Dillon Francis & Kygo Featuring James Hersey,Coming Over,3955
254,2015,ODESZA Featuring Shy Girls,All We Need,3963
255,2015,Duke Dumont,Ocean Drive,3967
256,2015,TryHardNinja,It's Me,3985
257,2015,The Chainsmokers Featuring Great Good Fine OK,Let You Go,3991
258,2015,Yellow Claw Featuring Ayden,Till It Hurts,3994
259,2015,Kaskade Featuring Ilsey,Disarm You,4004
260,2015,Axwell & Ingrosso,Sun Is Shining,4016
261,2015,Coldplay,A Sky Full Of Stars,4051
262,2015,Diplo & Sleepy Tom,Be Right There,4066
263,2015,Sigala.,Easy Love,4072
264,2015,Skrillex & Diplo Featuring Kiesza,Take U There,4080
265,2015,Kygo Featuring Ella Henderson,Here For You,4114
266,2015,"Cash Cash Featuring Busta Rhymes, B.o.B & Neon Hitch",Devil,4125
267,2015,Avicii,For A Better Day,4135
268,2015,Madeon Featuring Kyan,You're On,4167
269,2015,Disclosure Featuring Lorde,Magnets,4198
270,2015,Axwell & Ingrosso,On My Way,4210
271,2015,Robin Schulz Featuring Jasmine Thompson,Sun Goes Down,4213
272,2015,Clean Bandit & Jess Glynne,Real Love,4241
273,2015,Kaskade,Never Sleep Alone,4248
274,2015,Major Lazer Featuring Ariana Grande & Michel Montano,All My Love,4270
275,2015,Wyclef Featuring Avicii,Divine Sorrow,4283
276,2015,Dillon Francis & DJ Snake,Get Low,4309
277,2015,ODESZA Featuring Zyra,Say My Name,4363
278,2015,A-Trak + Milo & Otis Featuring Rich Kidz,Out The Speakers,4373
279,2015,The Chainsmokers & Tritonal Featuring Emily Warren,Until You Were Gone,4394
280,2015,Avicii,Broken Arrows,4394
281,2015,ZHU x AlunaGeorge,Automatic,4398
282,2015,Avicii,The Days,4419
283,2015,Cash Cash,Surrender,4422
284,2015,Zara Larsson & MNEK,Never Forget You,4435
285,2015,Alesso Featuring Sirena,Sweet Escape,4440
286,2015,Cazzette Featuring Terri B!,Blind Heart,4452
287,2015,Giorgio Moroder Featuring Sia,Deja Vu,4466
288,2015,AlunaGeorge,You Know You Like It,4493
289,2015,Martin Garrix & MOTi,Virus (How About Now),4497
290,2015,Gorgon City Featuring Jennifer Hudson,Go All Night,4500
291,2015,"Skrillex With Diplo, G-Dragon From BIGBANG & CL From 2NE1",Dirty Vibe,4522
292,2015,Philip George,Wish You Were Mine,4524
293,2015,Mr. Probz,Nothing Really Matters,4575
294,2015,DJ Snake Featuring Bipolar Sunshine,Middle,4581
295,2015,Timmy Trumpet & Savage,Freaks,4589
296,2015,Mystery Skulls,Ghost,4593
297,2015,Matthew Koma,So F**kin' Romantic,4597
298,2015,Tritonal & Cash Cash,Untouchable,4605
299,2015,RedFoo,Juicy Wiggle,4608
300,2016,The Chainsmokers Featuring Daya,Don't Let Me Down,858
301,2016,Flume Featuring Kai,Never Be Like You,896
302,2016,Zara Larsson & MNEK,Never Forget You,1475
303,2016,DJ Snake Featuring Bipolar Sunshine,Middle,1823
304,2016,Calvin Harris Featuring Rihanna,This Is What You Came For,1949
305,2016,Major Lazer Featuring Nyla & Fuse ODG,Light It Up,2261
306,2016,The Chainsmokers Featuring Rozes,Roses,2693
307,2016,Alan Walker,Faded,2714
308,2016,Jonas Blue Featuring Dakota,Fast Car,2750
309,2016,Kungs vs Cookin' On 3 Burners,This Girl,2878
310,2016,Galantis,No Money,2919
311,2016,Mike Perry Featuring Shy Martin,The Ocean,2983
312,2016,Jonas Blue Featuring JP Cooper,Perfect Strangers,2985
313,2016,Kygo Featuring Maty Noyes,Stay,3009
314,2016,Cheat Codes x Kris Kross Amsterdam,Sex,3020
315,2016,Marshmello,Alone,3036
316,2016,The Chainsmokers Featuring Charlee,Inside Out,3093
317,2016,Major Lazer Featuring Justin Bieber & MO,Cold Water,3094
318,2016,Robin Schulz Featuring Francesco Yates,Sugar,3155
319,2016,Matoma & Astrid S,Running Out,3166
320,2016,Yellow Claw & DJ Mustard Featuring Ty Dolla $ign & Tyga,In My Room,3193
321,2016,The Chainsmokers Featuring Halsey,Closer,3193
322,2016,Major Lazer & DJ Snake Featuring MO,Lean On,3298
323,2016,Skrillex & Rick Ross,Purple Lamborghini,3337
324,2016,Deorro Featuring Pitbull & Elvis Crespo,Bailar,3340
325,2016,Martin Garrix & Bebe Rexha,In The Name Of Love,3381
326,2016,DJ Snake Featuring Justin Bieber,Let Me Love You,3391
327,2016,Zedd & Aloe Blacc,Candyman,3437
328,2016,Cheat Codes & Dante Klein,Let Me Hold You (Turn Me On),3467
329,2016,David Guetta Featuring Zara Larsson,This One's For You,3553
330,2016,"Hermitude Featuring Big K.R.I.T., Mataya & Young Tapz",The Buzz,3566
331,2016,Era Istrefi,Bonbon,3627
332,2016,Alesso Featuring Nico & Vinz,I Wanna Know,3630
333,2016,Matoma & Becky Hill,False Alarm,3670
334,2016,David Guetta Featuring Sia & Fetty Wap,Bang My Head,3695
335,2016,Alan Walker,Sing Me To Sleep,3736
336,2016,Charly Black,Gyal You A Party Animal,3740
337,2016,Dawin,Dessert,3757
338,2016,Clean Bandit Featuring Louisa Johnson,Tears,3757
339,2016,Dillon Francis & Kygo Featuring James Hersey,Coming Over,3780
340,2016,Kygo Featuring Kodaline,Raging,3787
341,2016,AlunaGeorge Featuring Popcaan,I'm In Control,3788
342,2016,Kygo Featuring Julia Michaels,Carry Me,3817
343,2016,PSY Featuring CL,Daddy,3820
344,2016,Afrojack Featuring Ty Dolla $ign,Gone,3833
345,2016,ayokay Featuring Quinn XCII,Kings Of Summer,3834
346,2016,Calvin Harris & Disciples,How Deep Is Your Love,3835
347,2016,ZHU x Skrillex x THEY,Working For It,3844
348,2016,Rain Man Featuring OLY,Bring Back The Summer,3855
349,2016,Cash Cash Featuring Sofia Reyes,How To Love,3856
350,2016,Shoffy Featuring Lincoln Jesser,Takes My Body Higher,3883
351,2016,"DJ Snake Featuring Jeremih, Young Thug & Swizz Beatz",The Half,3889
352,2016,Mako,Smoke Filled Room,3916
353,2016,Petit Biscuit,Sunset Lover,3922
354,2016,Cash Cash & Digital Farm Animals Featuring Nelly,Millionaire,3923
355,2016,Calvin Harris,My Way,3942
356,2016,Steve Aoki & Boehm Featuring WALK THE MOON,Back 2 U,3945
357,2016,Porter Robinson & Madeon,Shelter,3962
358,2016,Marshmello Featuring Omar LinX,Keep It Mello,3997
359,2016,DJ Snake Featuring George Maple,Talk,4002
360,2016,Gryffin Featuring Josef Salvat,Heading Home,4011
361,2016,Disclosure Featuring Lorde,Magnets,4017
362,2016,Big Gigantic Featuring Logic & ROZES,All Of Me,4021
363,2016,Skrillex & Diplo Featuring Kai,Mind,4025
364,2016,Empire Of The Sun,High And Low,4033
365,2016,Caravan Palace,Lone Digger,4040
366,2016,Fais Featuring Afrojack,Hey,4053
367,2016,Gryffin And Bipolar Sunshine,Whole Heart,4057
368,2016,GTA Featuring Sam Bruno,Red Lips,4160
369,2016,Snakehips Featuring Zayn,Cruel,4166
370,2016,The Chainsmokers & Tritonal Featuring Emily Warren,Until You Were Gone,4174
371,2016,Benny Benassi & Chris Brown,Paradise,4179
372,2016,Tritonal Featuring Steph Jones,Blackout,4236
373,2016,"Alex Newell, Jess Glynne & DJ Cassidy With Nile Rodgers",Kill The Lights,4243
374,2016,Diplo & Sleepy Tom,Be Right There,4253
375,2016,Dimitri Vegas & Like Mike Featuring Ne-Yo,Higher Place,4256
376,2016,Madden Featuring 6AM,Golden Light,4268
377,2016,Skrillex & Diplo With Justin Bieber,Where Are U Now,4278
378,2016,Tiesto + Oliver Heldens Featuring Natalie La Rose,The Right Song,4289
379,2016,Louis The Child Featuring k.flay,It's Strange,4303
380,2016,Audien Featuring Deb's Daughter,Crazy Love,4304
381,2016,99 Souls Featuring Destiny's Child & Brandy,The Girl Is Mine,4304
382,2016,Jess Glynne,Don't Be So Hard On Yourself,4316
383,2016,The Chainsmokers,New York City,4333
384,2016,3LAU Featuring Yeah Boy,Is It Love,4378
385,2016,Mura Masa Featuring A$AP Rocky,Love$ick,4400
386,2016,Galantis & Hook N Sling,Love On Me,4409
387,2016,Lost Frequencies Featuring Janieck Devy,Reality,4410
388,2016,Dillon Francis Featuring Will Heard,Anywhere,4417
