,year,artist,song,points
1237,1970,Bill Anderson,Where Have All Our Heroes Gone,4297
1238,1970,Hank Williams Jr.,I Walked Out On Heaven,4300
1239,1970,Faron Young,Goin' Steady,4300
1240,1970,Merle Haggard,Street Singer,4302
1241,1970,Wynn Stewart,It's A Beautiful Day,4312
1242,1970,Don Gibson,A Perfect Mountain,4325
1243,1970,Jeannie C. Riley,Country Girl,4333
1244,1970,Buck Owens,Togetherness,4344
1245,1970,George Morgan,Lilacs And Fire,4350
1246,1970,Billy Walker,She Goes Walking Through My Mind,4353
1247,1970,"Hank Williams, Jr. & Lois Johnson",So Sad (To Watch Good Love Go Bad),4354
1248,1970,Roy Drusky,All My Hard Times,4363
1249,1970,Warner Mack,Live For The Good Times,4363
1250,1970,Skeeter Davis,I'm A Lover (Not A Fighter),4373
1251,1970,Jerry Lee Lewis,One Minute Past Eternity,4374
1252,1970,Johnny & Jonie Mosby,I'm Leavin' It Up To You,4379
1253,1970,Loretta Lynn,Coal Miner's Daughter,4380
1254,1970,Jim Ed Brown,Morning,4384
1255,1970,Bobby Lord,You And Me Against The World,4385
1256,1970,Don Gibson,Don't Take All Your Loving,4388
1257,1970,Bobby Lord,Wake Me Up Early In The Morning,4391
1258,1970,Norro Wilson,Do It To Someone You Love,4394
1259,1970,Lynn Anderson,No Love At All/I Found You Just In Time,4396
1260,1970,Jerry Reed,Talk About The Good Times,4396
1261,1971,Freddie Hart,Easy Loving,3201
1262,1971,Tom T. Hall,The Year That Clayton Delaney Died,3549
1263,1971,Ray Price,I Won't Mention It Again,3561
1264,1971,Sammi Smith,Help Me Make It Through The Night,3701
1265,1971,Conway Twitty,How Much More Can She Stand,3806
1266,1971,Bill Anderson,Quits,3815
1267,1971,Ray Price,I'd Rather Be Sorry,3822
1268,1971,Sonny James,Empty Arms,3863
1269,1971,Charley Pride,I'm Just Me,3866
1270,1971,Connie Smith,Just One Time,3880
1271,1971,Buck Owens,Ruby (Are You Mad),3909
1272,1971,Lynn Anderson,How Can I Unlove You,3914
1273,1971,Tammy Wynette,Good Lovin' (Makes It Right),3930
1274,1971,"Billy ""Crash"" Craddock",Knock Three Times,3934
1275,1971,Jerry Reed,"When You're Hot, You're Hot",3946
1276,1971,Lynn Anderson,You're My Man,3948
1277,1971,Faron Young,Step Aside,3952
1278,1971,Loretta Lynn,You're Lookin' At Country,3954
1279,1971,David Houston,A Woman Always Knows,3959
1280,1971,Tammy Wynette,We Sure Can Love Each Other,3967
1281,1971,Loretta Lynn,I Wanna Be Free,3974
1282,1971,Susan Raye,"Pitty, Pitty, Patter",3989
1283,1971,Jerry Lee Lewis,Touching Home,3990
1284,1971,Merle Haggard,Someday We'll Look Back,3990
1285,1971,Bobby Bare,Come Sundown,3999
1286,1971,Tommy Overstreet,I Don't Know You (Anymore),4000
1287,1971,Sonny James,Here Comes Honey Again,4018
1288,1971,Loretta Lynn & Conway Twitty,Lead Me On,4023
1289,1971,Bill Anderson,Always Remember,4029
1290,1971,Tommy Overstreet,Gwen (Congratulations),4033
1291,1971,Conway Twitty & Loretta Lynn,After The Fire Is Gone,4042
1292,1971,Jeannie C. Riley,"Oh, Singer",4061
1293,1971,Buck Owens,Rollin' In My Sweet Baby's Arms,4065
1294,1971,Charley Pride,I'd Rather Love You,4065
1295,1971,Freddy Weller,The Promised Land,4067
1296,1971,Jody Miller,He's So Fine,4076
1297,1971,Mel Tillis,Brand New Mister Me,4076
1298,1971,Freddy Weller,Another Night Of Love,4085
1299,1971,Sonny James,"Bright Lights, Big City",4091
1300,1971,Susan Raye,L.A. International Airport,4092
1301,1971,Freddy Weller,Indian Lake,4094
1302,1971,Mel Tillis,The Arms Of A Fool,4094
1303,1971,Mel Tillis,Take My Hand,4104
1304,1971,Conway Twitty,I Wonder What She'll Think About Me Leaving,4108
1305,1971,Johnny Cash,Man In Black,4123
1306,1971,Glen Campbell,Dream Baby (How Long Must I Dream),4124
1307,1971,Slim Whitman,Something Beautiful (To Remember),4133
1308,1971,Jeannie C. Riley,Good Enough To Be Your Wife,4141
1309,1971,Johnny Paycheck,She's All I Got,4144
1310,1971,Porter Wagoner,The Last One To Touch Me,4145
1311,1971,The Glaser Brothers,Rings,4150
1312,1971,Bobby Bare,Please Don't Tell Me How The Story Ends,4151
1313,1971,Faron Young,Leavin' And Sayin' Goodbye,4151
1314,1971,"Billy ""Crash"" Craddock",Dream Lover,4154
1315,1971,Billy Walker,I'm Gonna Keep On Keep On Lovin' You,4155
1316,1971,Porter Wagoner,Be A Little Quieter,4158
1317,1971,Dickey Lee,Never Ending Song Of Love,4159
1318,1971,Dave Dudley,Fly Away Again,4163
1319,1971,Hank Williams Jr.,I've Got A Right To Cry,4169
1320,1971,Merle Haggard And The Strangers,Soldier's Last Letter,4172
1321,1971,Porter Wagoner And Dolly Parton,Better Move It On Home,4173
1322,1971,Merle Haggard,Daddy Frank (The Guitar Man),4175
1323,1971,Marty Robbins,Early Morning Sunshine,4177
1324,1971,Bill Anderson,Dis-Satisfied,4181
1325,1971,George Jones,Right Won't Touch A Hand,4186
1326,1971,"Hank Williams, Jr. w/ The Mike Curb Congregation",Rainin' In My Heart,4188
1327,1971,Roger Miller,Tomorrow Night In Baltimore,4193
1328,1971,Bobby Goldsboro,Watching Scotty Grow,4197
1329,1971,Dave Dudley,Comin' Down,4206
1330,1971,Waylon Jennings,"Cedartown, Georgia",4213
1331,1971,Connie Smith,Where Is My Castle,4225
1332,1971,Stonewall Jackson,Me And You And A Dog Named Boo,4227
1333,1971,Dolly Parton,Joshua,4227
1334,1971,Jim Ed Brown,Angel's Sunday,4235
1335,1971,The Statler Brothers,Pictures,4237
1336,1971,Hank Thompson,The Mark Of A Heel,4241
1337,1971,Johnny Cash & June Carter,No Need To Worry,4250
1338,1971,Waylon Jennings,Mississippi Woman,4251
1339,1971,Charley Pride,Kiss An Angel Good Mornin',4255
1340,1971,Jerry Lee Lewis,When He Walks On You (Like You Have Walked On Me),4256
1341,1971,Buck Owens,Bridge Over Troubled Water,4257
1342,1971,Lynn Anderson,Rose Garden,4257
1343,1971,David Rogers,She Don't Make Me Cry,4261
1344,1971,George Jones,Sometimes You Just Can't Win,4271
1345,1971,David Houston,Nashville,4280
1346,1971,Jody Miller,"Baby, I'm Yours",4288
1347,1971,Jerry Reed,Ko-Ko Joe,4292
1348,1971,Sammi Smith,Then You Walk In,4299
1349,1971,Hank Thompson,Next Time I Fall In Love (I Won't),4306
1350,1971,Jack Greene,There's A Whole Lot About A Woman (A Man Don't Know)/Makin' Up His Mind,4309
1351,1971,Kenny Price,The Sheriff Of Boone County,4313
1352,1971,Hank Williams Jr.,After All They All Used To Belong To Me,4321
1353,1971,Del Reeves,The Philadelphia Fillies,4325
1354,1971,The Statler Brothers,Bed Of Roses,4329
1355,1971,George Jones,I'll Follow You (Up To Our Cloud),4331
1356,1971,Bobby G. Rice,Mountain Of Love,4332
1357,1971,Jack Reno,Hitchin' A Ride,4336
1358,1971,Glen Campbell,The Last Time I Saw Her,4339
1359,1971,Johnny Cash,Flesh And Blood,4349
1360,1971,Ray Sanders,All I Ever Need Is You,4365
1361,1972,Donna Fargo,The Happiest Girl In The Whole Usa,3471
1362,1972,Freddie Hart,My Hang-Up Is You,3564
1363,1972,Jerry Wallace,If You Leave Me Tonight I'll Cry,3719
1364,1972,Don Gibson,Woman (Sensuous Woman),3766
1365,1972,Jerry Wallace,To Get To You,3796
1366,1972,Charley Pride,It's Gonna Take A Little Bit Longer,3883
1367,1972,Bob Luman,Lonely Women Make Good Lovers,3885
1368,1972,Tanya Tucker,Delta Dawn,3889
1369,1972,Sonny James,Only Love Can Break A Heart,3902
1370,1972,Lynn Anderson,Cry,3911
1371,1972,Donna Fargo,Funny Face,3925
1372,1972,Jerry Lee Lewis,Chantilly Lace/Think About It Darlin',3928
1373,1972,Loretta Lynn,Here I Am Again,3936
1374,1972,Faron Young,It's Four In The Morning,3940
1375,1972,Mel Street,Borrowed Angel,3945
1376,1972,Faron Young,This Little Girl Of Mine,3946
1377,1972,Johnny Cash,Oney,3948
1378,1972,"Billy ""Crash"" Craddock",I'm Gonna Knock On Your Door,3956
1379,1972,Johnny Cash,A Thing Called Love,3960
1380,1972,Hank Williams Jr.,Eleven Roses,3961
1381,1972,Conway Twitty,I Can't Stop Loving You,3962
1382,1972,Hank Williams Jr.,Pride's Not Hard To Swallow,3964
1383,1972,Bill Anderson,Don't She Look Good,3970
1384,1972,Sonny James,When The Snow Is On The Roses,3971
1385,1972,Conway Twitty,(Lost Her Love) On Our Last Date,3973
1386,1972,Buck Owens,Made In Japan,3977
1387,1972,Bob Luman,When You Say Love,3981
1388,1972,The Statler Brothers,Do You Remember These,3981
1389,1972,Joe Stampley,If You Touch Me (You've Got To Love Me),3983
1390,1972,Mel Tillis,It Ain't Over,3986
1391,1972,Charley Pride with Henry Mancini,All His Children,3994
1392,1972,Jim Reeves,Missing You,4000
