,year,artist,song,points
484,2009,Zac Brown Band,Whatever It Is,4183
485,2009,Plain White T's,"1, 2, 3, 4",4188
486,2009,Maino Featuring T-Pain,All The Above,4207
487,2009,Taylor Swift,White Horse,4210
488,2009,Maxwell,Pretty Wings,4212
489,2009,Asher Roth,I Love College,4214
490,2009,The Veronicas,Untouched,4223
491,2009,Britney Spears,3,4224
492,2009,Kelly Clarkson,I Do Not Hook Up,4226
493,2009,"Eminem, Dr. Dre & 50 Cent",Crack A Bottle,4228
494,2009,Carrie Underwood,Cowboy Casanova,4232
495,2009,Beyonce,Diva,4235
496,2009,Darius Rucker,Alright,4250
497,2009,Jason Aldean,She's Country,4259
498,2009,Kristinia DeBarge,Goodbye,4266
499,2009,The Ting Tings,That's Not My Name,4274
500,2010,Train,"Hey, Soul Sister",1698
501,2010,Lady Antebellum,Need You Now,1847
502,2010,The Script,Breakeven,2585
503,2010,B.o.B Featuring Hayley Williams,Airplanes,2590
504,2010,Taio Cruz,Dynamite,2623
505,2010,Usher Featuring will.i.am,OMG,2632
506,2010,Jason Derulo,In My Head,2691
507,2010,Enrique Iglesias Featuring Pitbull,I Like It,2715
508,2010,Taio Cruz Featuring Ludacris,Break Your Heart,2745
509,2010,Katy Perry Featuring Snoop Dogg,California Gurls,2849
510,2010,Lady Gaga Featuring Beyonce,Telephone,2910
511,2010,Ke$ha,TiK ToK,2911
512,2010,B.o.B Featuring Bruno Mars,Nothin' On You,2933
513,2010,Eminem Featuring Rihanna,Love The Way You Lie,2936
514,2010,Mike Posner,Cooler Than Me,2973
515,2010,Lady Gaga,Bad Romance,3089
516,2010,Eminem,Not Afraid,3092
517,2010,Michael Buble,Haven't Met You Yet,3114
518,2010,Usher Featuring Pitbull,DJ Got Us Fallin' In Love,3125
519,2010,Travie McCoy Featuring Bruno Mars,Billionaire,3131
520,2010,Bruno Mars,Just The Way You Are,3215
521,2010,Katy Perry,Teenage Dream,3224
522,2010,Ke$ha,Your Love Is My Drug,3250
523,2010,The Black Eyed Peas,Imma Be,3254
524,2010,The Black Eyed Peas,I Gotta Feeling,3263
525,2010,Adam Lambert,Whataya Want From Me,3326
526,2010,Rihanna,Rude Boy,3339
527,2010,Flo Rida Featuring David Guetta,Club Can't Handle Me,3371
