,year,artist,song,points,duration
237,2014,Childish Gambino,Sober,5018,252.013
238,2014,Beyonce,Ring Off,5083,180.186
239,2014,Jhene Aiko Featuring Cocaine 80s,To Love & Die,5093,203.453
240,2014,Michael Jackson,Chicago,5095,220.487
241,2014,Chris Brown Featuring Trey Songz,Songs On 12 Play,5097,228.533
242,2014,Michael Jackson,Loving You,5098,155.653
243,2014,Michael Jackson,A Place With No Name,5098,335.146
244,2014,Tank,You're My Star,5098,157.821
245,2014,Jhene Aiko,The Pressure,5098,237.573
246,2014,August Alsina,Kissin' On My Tattoos,5098,251.893
247,2014,Mila J Featuring Ty Dolla $ign,My Main,5099,212.72
248,2014,Kelly Price,It's My Time,5100,223.747
249,2014,Michael Jackson,Thriller,5155,357.266
250,2014,Michael Jackson,Billie Jean,5156,293.826
251,2014,Tessanne Chin,I Have Nothing,5157,289.16
252,2014,Chris Jamison,Sexual Healing,5165,238.6
253,2014,Pharrell Williams,Marilyn Monroe,5165,218.506
254,2015,Omarion Featuring Chris Brown & Jhene Aiko,Post To Be,1826,226.58
255,2015,Jeremih Featuring J. Cole,Planez,2093,240.32
256,2015,The Weeknd,Earned It (Fifty Shades Of Grey),2209,277.68
257,2015,The Weeknd,The Hills,2375,242.253
258,2015,Jidenna Featuring Roman GianArthur,Classic Man,2543,226.0
259,2015,Alessia Cara,Here,2665,242.484
260,2015,Rihanna,B**** Better Have My Money,2746,219.305
261,2015,Natalie La Rose Featuring Jeremih,Somebody,2774,244.973
262,2015,The Weeknd,Can't Feel My Face,2789,213.52
263,2015,Chris Brown & Tyga,Ayo,2802,225.226
264,2015,Trey Songz,Slow Motion,2845,248.2
265,2015,Rihanna & Kanye West & Paul McCartney,FourFiveSeconds,3126,188.238
266,2015,Janelle Monae & Jidenna,Yoga,3172,133.746
267,2015,Bryson Tiller,Don't,3243,198.293
268,2015,Beyonce,7/11,3249,213.506
269,2015,Miguel,Coffee,3269,58.868
270,2015,Tinashe Featuring Iggy Azalea,All Hands On Deck,3304,221.04
271,2015,Usher Featuring Juicy J,I Don't Mind,3316,269.663
272,2015,Chris Brown,Liquor,3328,224.906
273,2015,Janet Featuring J. Cole,No Sleeep,3438,260.776
274,2015,Ciara,I Bet,3451,285.106
275,2015,Tyrese,Shame,3526,219.742
276,2015,A$AP Rocky,L$D,3528,238.306
277,2015,Trey Songz,About You,3584,326.49
278,2015,Jamie Foxx Featuring Chris Brown,You Changed Me,3597,242.266
279,2015,Nelly Featuring Jeremih,The Fix,3691,173.045
280,2015,Jeremih,Paradise,3709,278.719
281,2015,Ne-Yo Featuring Juicy J,She Knows,3736,296.52
282,2015,Omarion Featuring Kid Ink & French Montana,I'm Up,3745,214.466
283,2015,Kem,Nobody,3759,180.853
284,2015,Kanye West Featuring Paul McCartney,Only One,3768,257.399
285,2015,The Weeknd,Tell Your Friends,3817,334.333
286,2015,Childish Gambino,Sober,3856,252.013
287,2015,The Weeknd,Acquainted,3885,348.853
288,2015,Empire Cast Featuring Jussie Smollett,Good Enough,3916,185.0
289,2015,The Weeknd Featuring Ed Sheeran,Dark Times,3964,260.64
290,2015,Tink,Million,3987,210.133
291,2015,Empire Cast Featuring V. Bozeman,What Is Love,4013,208.24
292,2015,K. Michelle,Love 'Em All,4070,245.866
293,2015,D'Angelo And The Vanguard,Really Love,4152,344.346
294,2015,The Weeknd,Real Life,4156,223.373
295,2015,I LOVE MAKONNEN Featuring Drake,Tuesday,4188,450.226
296,2015,Natalie La Rose Featuring Fetty Wap,Around The World,4202,429.533
297,2015,Empire Cast Featuring Jussie Smollett & Yazz,You're So Beautiful,4218,213.906
298,2015,Sevyn Streeter Featuring Chris Brown,Don't Kill The Fun,4267,216.893
299,2015,D.R.A.M.,Cha Cha,4273,173.937
300,2015,Jill Scott,Fool's Gold,4291,210.893
301,2015,The Weeknd,In The Night,4294,235.653
302,2015,Tamar Braxton Featuring Future,Let Me Know,4305,215.38
303,2015,Bryson Tiller,Exchange,4338,194.613
