,date,rank,artist,song,year
17,2013-02-23,18,Cazzette,Beam Me Up (Kill-Mode),2013
18,2013-02-23,19,Calvin Harris Featuring Ellie Goulding,I Need Your Love,2013
19,2013-02-23,20,Calvin Harris Featuring Tinie Tempah,Drinking From The Bottle,2013
20,2013-02-23,21,Kerli,The Lucky Ones,2013
21,2013-02-23,22,Rihanna Featuring David Guetta,Right Now,2013
22,2013-02-23,23,Hardwell Featuring Amba Shepherd,Apollo,2013
23,2013-02-23,24,Chris Cox + DJ Frankie Featuring Crystal Waters,Oh Mama Hey,2013
24,2013-02-23,25,Asaf Avidan / Wankelmut,One Day / Reckoning Song,2013
25,2013-02-23,26,Sam And The Womp!,Bom Bom,2013
26,2013-02-23,27,Miasha,Everybody's Beautiful,2013
27,2013-02-23,28,C2C,Down The Road,2013
28,2013-02-23,29,David Guetta Featuring Taped Rai,Just One Last Time,2013
29,2013-02-23,30,Major Lazer & Flux Pavillion,Jah No Partial,2013
30,2013-02-23,31,David Guetta Featuring Ne-Yo & Akon,Play Hard,2013
31,2013-02-23,32,Delerium,Days Turn Into Nights,2013
32,2013-02-23,33,Calvin Harris Featuring Ayah Marar,Thinking About You,2013
33,2013-02-23,34,NERO,Doomsday,2013
34,2013-02-23,35,Skrillex & Wolfgang Gartner,The Devil's Den,2013
35,2013-02-23,36,Madeon,The City,2013
36,2013-02-23,37,Hadouken!,Levitate,2013
37,2013-02-23,38,RedFoo,Bring Out The Bottles,2013
38,2013-02-23,39,Rudimental Featuring John Newman,Feel The Love,2013
39,2013-02-23,40,Otto Knows,Million Voices,2013
40,2013-02-23,41,Kwanza Jones,Supercharged,2013
41,2013-02-23,42,Madeon,Finale,2013
42,2013-02-23,43,Traci Lords vs The House Rejects Featuring Brian Lucas,He's My Bitch,2013
43,2013-02-23,44,Kaskade Featuring Neon Trees,Lessons In Love,2013
44,2013-02-23,45,Porter Robinson,Language,2013
45,2013-02-23,46,Flux Pavilion Featuring Childish Gambino,Do Or Die,2013
46,2013-02-23,47,Showtek & Justin Prime Featuring Matthew Koma,Cannonball (Earthquake),2013
47,2013-02-23,48,Hardwell Featuring Mitch Crown,Call Me A Spaceman,2013
48,2013-02-23,49,Robert DeLong,Global Concepts,2013
49,2013-02-23,50,Knife Party,Internet Friends,2013
0,2013-03-16,1,Baauer,Harlem Shake,2013
1,2013-03-16,2,will.i.am & Britney Spears,Scream & Shout,2013
2,2013-03-16,3,Swedish House Mafia Featuring John Martin,Don't You Worry Child,2013
3,2013-03-16,4,Calvin Harris Featuring Florence Welch,Sweet Nothing,2013
