,year,artist,song,points
246,1988,Chayanne,PELIGRO DE AMOR,3855
247,1988,Dyango,AHORA,3875
248,1988,Raphael,Siempre Estas Diciendo Que Te Vas,3892
249,1988,Roberto Carlos,AMOR PERFECTO,3910
250,1988,Wilfrido Vargas,A MOVER LA COLITA,3915
251,1988,Mijares,SOLDADO DE AMOR,3923
252,1988,Lorenzo Antonio,BUSCARE,3969
253,1988,Jose Luis Rodriguez,Y TU TAMBIEN LLORARAS,3979
254,1988,Jose Feliciano/Pandora,No Hay Mal Que Por Bien No Venga,4002
255,1988,Beatriz Adriana,La luna sera la luna,4012
256,1988,Roberto Carlos,SI EL AMOR SE VA,4013
257,1988,Karina,A Quien,4026
258,1988,Yolandita Monge,NUNCA TE DIRE ADIOS,4034
259,1988,Michael Jackson,TODO MI AMOR ERES TU,4060
260,1988,Luis Enrique,TU NO LE AMAS LE TEMES,4072
261,1988,Lupita D'Alessio,EL QUE JUEGA CON FUEGO,4076
262,1988,Jose Javier Solis,QUE SE VAYAN AL DIABLO,4086
263,1988,Tierra,TE QUIERO,4113
264,1988,El Gran Combo de Puerto Rico,CUPIDO,4114
265,1988,Karina,Se Como Duele,4119
266,1988,Rocio Durcal,Como Tu Mujer,4134
267,1988,Braulio,UNA MUJER COMO TU,4168
268,1988,Tatiana,PELIGRO EN EL ELEVADOR,4187
269,1988,Flans,CORRE CORRE,4192
270,1988,Max Torres,CARA DURA,4211
271,1988,ALBERTO VASQUEZ/JOAN SEBASTIAN,MARACAS,4224
272,1988,Gilberto Santa Rosa,TU,4228
273,1988,Andy Montanez,CASI TE ENVIDIO,4256
274,1988,Maria Conchita Alonso,Otra Mentira Mas,4265
275,1988,The Jets,Alla tu,4286
276,1988,Los Caminantes,ENTRE MAS LEJOS ME VAYA,4301
277,1988,Vicente Fernandez,HAGANSE A UN LADO,4313
278,1988,Luisa Maria Guel,CALIENTE,4348
279,1988,Jose Luis Rodriguez,POR ESA MUJER,4352
280,1988,Lalo Rodriguez,SI TE MENTI,4353
281,1988,Dyango,AMEN,4370
282,1988,Los Bukis,Tu carcel,4427
283,1988,Lucerito,NO ME HABLEN DE EL,4445
284,1988,Frankie Ruiz,ME ACOSTUMBRE,4445
285,1988,Conjunto Chaney,AMIGOS,4453
286,1988,Byanka,LA LLAMADA,4467
287,1988,Charytin,ESE HOMBRE,4473
288,1988,Luis Enrique,DESESPERADO,4477
289,1988,Linda Ronstadt,POR UN AMOR,4486
290,1988,Nelson Ned,LA REVANCHA,4486
291,1988,Julio Iglesias,Que no se rompa la noche,4492
292,1988,Maria del Sol,SIENTO CELOS,4503
293,1988,Valeria Lynch,A CUALQUIER PRECIO,4510
294,1988,Danny Rivera,Amar o morir,4515
295,1988,Maria Sorte,SOLO QUIERO CONTIGO,4524
296,1988,Brenda K. Starr,Yo creo en ti,4529
297,1988,Rocio Banquells/Luis Miguel,No Me Puedo Ecapar,4530
298,1988,Julio Iglesias,ALGUIEN,4531
299,1988,Luis Enrique,Comprendelo,4539
300,1989,Vikki Carr,MALA SUERTE,2131
301,1989,Ricardo Montaner,Solo Con Un Beso,2530
302,1989,Jose Luis Rodriguez,BAILA MI RUMBA,2535
303,1989,Luis Miguel,La Incondicional,2578
304,1989,Ana Gabriel,Simplemente Amigos,2581
305,1989,Franco de Vita,Te Amo,2597
306,1989,Isabel Pantoja,Asi Fue,2746
307,1989,Los Bukis,A donde vayas,2870
308,1989,Jose Jose,Como Tu,2925
309,1989,Chayanne,Este Ritmo Se Baila Asi,2959
310,1989,Roberto Carlos/Vicente Fernandez,Aunque mal paguen ellas,2984
311,1989,Braulio,AMANDOTE Y SONANDOTE,3010
312,1989,Chayanne,Tu Pirata Soy Yo,3038
313,1989,Ednita Nazario,Aprendere,3085
314,1989,Yuri,HOMBRES AL BORDE DE UN ATAQUE DE CELOS,3093
315,1989,Ana Gabriel,ES EL AMOR QUE LLEGA,3106
316,1989,Marisela,Y Voy Hacer Feliz,3195
317,1989,Rocio Durcal,El Amor Mas Bonito,3260
318,1989,Mijares,Uno Entre Mil,3298
319,1989,Luis Miguel,Un Hombre Busca Una Mujer,3306
320,1989,Jose Jose,Piel De Azucar,3319
321,1989,Miguel Gallardo,Yo Fui El Segundo En Tu Vida,3377
322,1989,Gloria Estefan,Si voy a perderte,3395
323,1989,Lucerito,Cuentame,3412
324,1989,Los Yonic's,TU PRESA FACIL,3423
325,1989,Rocio Durcal,Como Tu Mujer,3442
326,1989,Gipsy Kings,BAMBOLEO,3446
327,1989,Braulio,UN TIEMPO PARA NOSOTROS,3451
328,1989,Emmanuel,Quisiera,3541
329,1989,Rocio Durcal,QUE ESPERABAS DE MI,3547
330,1989,Rocio Jurado,Amor De Noche,3578
331,1989,Luis Miguel,Fria como el viento,3588
332,1989,Marisela,Ya No Puedo Volver Contigo,3595
333,1989,Los Bukis,Como Fui A Enamorarme De Ti,3603
334,1989,Roberto Carlos,Tristes Momentos,3711
335,1989,Rocio Durcal,Extranandote,3717
336,1989,Jose Jose,El,3781
337,1989,Julio Iglesias,Bamboleo/Caballo Viejo,3823
338,1989,Vikki Carr,HAY OTRO EN TU LUGAR,3853
339,1989,Yolandita Monge,Por Ti,3882
340,1989,Lucerito,NO ME HABLEN DE EL,3886
341,1989,Lucerito,Vete Con Ella,3910
342,1989,Ricardo Montaner,Tan Enamorados,3916
343,1989,Pablo Ruiz,Orgullosa nena,3931
344,1989,Pandora,No Puedo Dejar De Pensar En Ti,3987
345,1989,Chayanne,Fuiste Un Trozo De Hielo En La Escarcha,3998
346,1989,Dyango,El Que Mas Te Ha Querido,4007
347,1989,Los Yonic's,PERDON POR TUS LAGRIMAS,4045
348,1989,Franco de Vita,Luis,4056
349,1989,Ana Gabriel,No Digas No,4057
350,1989,Roberto Carlos,Si Me Vas A Olvidar,4089
351,1989,Pablo Ruiz,Oh Mama Ella Me Ha Besado,4100
352,1989,El Gran Combo de Puerto Rico,AMAME,4105
353,1989,Eddie Santiago,ME FALLASTE,4115
354,1989,Roberto Carlos,MIS AMORES,4116
