,year,artist,song,points,duration
3196,2017,Mambo Kingz & DJ Luian Presenta Arcangel X Bad Bunny,Tu No Vive Asi,4331,264.0
3197,2017,Banda Los Recoditos,Me Esta Tirando El Rollo,4336,157.68
3198,2017,Maluma Featuring Fifth Harmony Or Don Omar & Wisin,Sin Contrato,4355,221.053
3199,2017,Plan B,Te Acuerdas de Mi,4364,214.346
3200,2018,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,109,229.36
3201,2018,Daddy Yankee,Dura,935,200.48
3202,2018,Nicky Jam x J Balvin,X,1174,234.324
3203,2018,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,1796,417.92
3204,2018,J Balvin & Willy William Featuring Beyonce,Mi Gente,2259,185.04
3205,2018,Ozuna & Romeo Santos,El Farsante,2337,233.826
3206,2018,Raymix,Oye Mujer,2602,259.239
3207,2018,Becky G + Natti Natasha,Sin Pijama,2635,190.16
3208,2018,Reik Featuring Ozuna & Wisin,Me Niego,2689,221.653
3209,2018,Ozuna x Cardi B,La Modelo,2820,255.506
3210,2018,Brytiago / Darell / Daddy Yankee / Ozuna / Anuel AA,Asesina,2867,187.312
3211,2018,Ozuna,Unica,2888,218.386
3212,2018,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,Dame Tu Cosita,2996,152.0
3213,2018,Maluma,El Prestamo,3029,219.6
3214,2018,Ozuna x Manuel Turizo,Vaina Loca,3097,176.133
3215,2018,J Balvin & Zion & Lennox,No Es Justo,3118,251.266
3216,2018,DJ Kass,Scooby Doo Pa Pa,3150,145.972
3217,2018,Luis Fonsi & Demi Lovato,Echame La Culpa,3267,173.8
3218,2018,Zion & Lennox,La Player (Bandolera),3305,249.608
3219,2018,Shakira & Maluma,Clandestino,3350,231.92
3220,2018,Prince Royce Featuring Maluma,El Clavo,3363,171.337
3221,2018,Anuel AA & Romeo Santos,Ella Quiere Beber,3402,219.357
3222,2018,Enrique Iglesias Featuring Bad Bunny,El Bano,3429,214.52
3223,2018,Cosculluela + Bad Bunny,Madura,3439,190.995
3224,2018,Bad Bunny,Estamos Bien,3463,208.079
3225,2018,Maluma X Nego do Borel,Corazon,3483,211.453
3226,2018,Ozuna,Siguelo Bailando,3518,226.8
3227,2018,Banda Sinaloense MS de Sergio Lizarraga,Tu Postura,3535,281.4
3228,2018,Karol G & J Balvin Featuring Nicky Jam,Mi Cama,3551,196.32
