,year,artist,song,points,duration
788,1965,The Turtles,It Ain't Me Babe,4450,214.44
789,1965,Eddy Arnold,Make The World Go Away,4452,161.533
790,1965,The Zombies,Tell Her No,4460,126.6
791,1965,Peter And Gordon,I Go To Pieces,4461,145.266
792,1965,Vic Dana,Red Roses For A Blue Lady,4463,139.653
793,1965,Patty Duke,Don't Just Stand There,4468,158.76
794,1965,The Miracles,The Tracks Of My Tears,4475,174.36
795,1965,Brenda Lee,Too Many Rivers,4479,235.68
796,1965,The Dave Clark Five,I Like It Like That,4487,188.2
797,1965,Bobby Goldsboro,Little Things,4491,219.04
798,1965,Herman's Hermits,Just A Little Bit Better,4502,173.653
799,1965,Peter And Gordon,True Love Ways,4503,168.306
800,1966,The Mamas & The Papas,California Dreamin',3987,162.373
801,1966,? (Question Mark) & The Mysterians,96 Tears,3988,176.866
802,1966,Roger Williams,Born Free,3994,264.533
803,1966,The Monkees,Last Train To Clarksville,4000,164.093
804,1966,Jimmy Ruffin,What Becomes Of The Brokenhearted,4002,178.44
